batches,device/batches_per_sec,device/items_per_sec,device/samples_per_sec,lengths,samples,step,time
1,,,,304,4,1,0.7900918000377715
2,,,,560,8,2,1.0672903000377119
3,,,,832,12,3,1.4025004000286572
4,,,,1076,16,4,1.7254431000328623
5,,,,1336,20,5,2.0792603000300005
6,,,,1560,24,6,2.4307150000240654
7,,,,1824,28,7,2.8118011000333354
8,,,,2104,32,8,3.13407680002274
9,,,,2376,36,9,3.4657214000471868
10,,,,2656,40,10,3.795519500039518
11,,,,2880,44,11,4.062295100011397
12,,,,3112,48,12,4.331535000004806
13,,,,3340,52,13,4.617393399996217
14,,,,3636,56,14,4.943481200025417
15,,,,3940,60,15,5.269266000017524
16,,,,4180,64,16,5.553623800049536
17,,,,4412,68,17,5.826075499993749
18,,,,4668,72,18,6.098094500019215
19,,,,4916,76,19,6.368642500019632
20,,,,5164,80,20,6.651739299995825
21,,,,5416,84,21,6.922912800044287
22,,,,5716,88,22,7.245568600017577
23,,,,5948,92,23,7.527911100012716
24,,,,6220,96,24,7.85407280002255
25,,,,6476,100,25,8.126481000042986
26,,,,6720,104,26,8.39806660002796
27,,,,7008,108,27,8.739984600048047
28,,,,7260,112,28,9.015215100022033
29,,,,7488,116,29,9.286834200029261
30,,,,7720,120,30,9.624033300031442
31,,,,7964,124,31,9.97673210001085
32,,,,8188,128,32,10.25859300000593
33,,,,8468,132,33,10.599077499995474
34,,,,8724,136,34,10.877688300039154
35,,,,8976,140,35,11.153796700004023
36,,,,9224,144,36,11.514975099998992
37,,,,9472,148,37,11.914334800036158
38,,,,9724,152,38,12.298546400037594
39,,,,9996,156,39,12.708357500028796
40,,,,10228,160,40,12.99381410004571
41,,,,10468,164,41,13.291550100024324
42,,,,10732,168,42,13.639428500027861
43,,,,11028,172,43,13.966827200027183
44,,,,11276,176,44,14.240562600025441
45,,,,11540,180,45,14.581233800039627
46,,,,11812,184,46,14.916061200026888
47,,,,12040,188,47,15.207030799996573
48,,,,12312,192,48,15.546179500001017
49,,,,12552,196,49,15.822541600035038
50,3.2010255197407886,816.5881427910175,12.804102078963155,12804,200,50,16.097686099994462
51,3.189849518651647,813.9975179840857,12.759398074606588,13064,204,51,16.428516500047408
52,3.1887071766136237,814.7472214531136,12.754828706454495,13352,208,52,16.769229700032156
53,3.1891018626762384,815.8894071532516,12.756407450704954,13612,212,53,17.090270600048825
54,3.205279411798441,818.4582857229,12.821117647193764,13848,216,54,17.366539100010414
