batches,device/batches_per_sec,device/items_per_sec,device/samples_per_sec,lengths,samples,step,time
1,,,,396,4,1,0.6933786000008695
2,,,,792,8,2,0.8838411000033375
3,,,,1072,12,3,1.0598411000100896
4,,,,1268,16,4,1.2340262999932747
5,,,,1560,20,5,1.3984060999937356
6,,,,1780,24,6,1.5462133999972139
7,,,,2100,28,7,1.710512399993604
8,,,,2392,32,8,1.8654860999959055
9,,,,2688,36,9,2.032339800003683
10,,,,2928,40,10,2.2037620000191964
11,,,,3224,44,11,2.3524299999990035
12,,,,3568,48,12,2.523776000016369
13,,,,3824,52,13,2.6793316999974195
14,,,,4156,56,14,2.8425298999936786
15,,,,4392,60,15,2.9908379999978933
16,,,,4712,64,16,3.1423610000056215
17,,,,4968,68,17,3.310240299993893
18,,,,5212,72,18,3.4627072000002954
19,,,,5484,76,19,3.622824699996272
20,,,,5780,80,20,3.7752011000120547
21,,,,6000,84,21,3.9273109000059776
22,,,,6220,88,22,4.069422000000486
23,,,,6540,92,23,4.251555599999847
24,,,,6832,96,24,4.399084300006507
25,,,,7012,100,25,4.5493247999984305
26,,,,7256,104,26,4.707451700000092
27,,,,7508,108,27,4.857052900013514
28,,,,7904,112,28,5.037544599996181
29,,,,8160,116,29,5.182731300010346
30,,,,8376,120,30,5.345294800004922
31,,,,8592,124,31,5.484481499996036
32,,,,8936,128,32,5.652811500011012
33,,,,9168,132,33,5.822617900004843
34,,,,9512,136,34,5.9858252000121865
35,,,,9784,140,35,6.149783600005321
36,,,,10044,144,36,6.323902400006773
37,,,,10364,148,37,6.483857500017621
38,,,,10636,152,38,6.633757400006289
39,,,,10968,156,39,6.790674000018043
40,,,,11168,160,40,6.962463800009573
41,,,,11400,164,41,7.109550099994522
42,,,,11696,168,42,7.28386799999862
43,,,,11988,172,43,7.4330988000147045
44,,,,12292,176,44,7.597440200013807
45,,,,12596,180,45,7.759824400010984
46,,,,12940,184,46,7.945366300002206
47,,,,13284,188,47,8.122220300021581
48,,,,13580,192,48,8.302502500009723
49,,,,13840,196,49,8.468116400006693
50,6.185205944184054,1723.2741132653205,24.740823776736217,14048,200,50,8.61550770001486
51,6.209074674152136,1716.7457894982274,24.836298696608544,14340,204,51,8.775516199995764
52,6.205320583707811,1730.3979684853782,24.821282334831245,14736,208,52,8.956290500005707
53,6.217327783868281,1745.9271491026032,24.869311135473126,15028,212,53,9.115225700021256
54,6.225280791591158,1741.554063084318,24.90112316636463,15268,216,54,9.26953700001468
55,6.200398865314742,1747.2470924952238,24.80159546125897,15588,220,55,9.448930800019298
56,6.203179760053251,1735.3711867512238,24.812719040213004,15808,224,56,9.609687000018312
57,6.193969071361606,1732.7944495964264,24.775876285446422,16100,228,57,9.776407099998323
58,6.2197659872786835,1733.410700454647,24.879063949114734,16344,232,58,9.910449699993478
59,6.2467108358434364,1739.9001936243108,24.986843343373746,16576,236,59,10.047890100016957
60,6.240460930116348,1733.0651497351687,24.961843720465392,16832,240,60,10.204414100007853
61,6.251536570283516,1724.913763882309,25.006146281134065,17088,244,61,10.361849000008078
