batches,device/batches_per_sec,device/items_per_sec,device/samples_per_sec,lengths,samples,step,time
1,,,,488,4,1,0.6417058000224642
2,,,,732,8,2,0.8740452000056393
3,,,,968,12,3,1.0688074000063352
4,,,,1232,16,4,1.2232322000199929
5,,,,1476,20,5,1.3769214000203647
6,,,,1736,24,6,1.537588000006508
7,,,,1940,28,7,1.688581799971871
8,,,,2200,32,8,1.8748859000043012
9,,,,2436,36,9,2.0543268999899738
10,,,,2660,40,10,2.2152446000254713
11,,,,2904,44,11,2.3604831999982707
12,,,,3136,48,12,2.511430600017775
13,,,,3448,52,13,2.6844077999703586
14,,,,3684,56,14,2.8393883000244386
15,,,,3972,60,15,3.00382919999538
16,,,,4200,64,16,3.1540161999873817
17,,,,4420,68,17,3.3032859999802895
18,,,,4664,72,18,3.4521992999943905
19,,,,4892,76,19,3.5906028000172228
20,,,,5116,80,20,3.7540474999696016
21,,,,5368,84,21,3.9271164999809116
22,,,,5684,88,22,4.0837460000184365
23,,,,5928,92,23,4.227210299985018
24,,,,6168,96,24,4.378384099982213
25,,,,6384,100,25,4.529340000008233
26,,,,6620,104,26,4.70939350000117
27,,,,6848,108,27,4.868172599992249
28,,,,7072,112,28,5.031696100020781
29,,,,7268,116,29,5.179583300021477
30,,,,7504,120,30,5.324540000001434
31,,,,7700,124,31,5.4794755000039
32,,,,7948,128,32,5.648664399981499
33,,,,8192,132,33,5.811774900008459
34,,,,8512,136,34,5.981668199994601
35,,,,8696,140,35,6.130623799981549
36,,,,8968,144,36,6.316937899973709
37,,,,9200,148,37,6.455792599997949
38,,,,9400,152,38,6.609940299997106
39,,,,9628,156,39,6.78439879999496
40,,,,9860,160,40,6.931390099984128
41,,,,10136,164,41,7.089826299983542
42,,,,10432,168,42,7.249726100009866
43,,,,10692,172,43,7.418147100019269
44,,,,10944,176,44,7.576612200005911
45,,,,11192,180,45,7.716163699980825
46,,,,11428,184,46,7.87332559999777
47,,,,11736,188,47,8.031224199978169
48,,,,12060,192,48,8.192672899982426
49,,,,12332,196,49,8.361356800014619
50,6.226363722653716,1541.5968302700994,24.905454890614863,12620,200,50,8.511467700009234
51,6.279970679464518,1557.4327285072004,25.119882717858072,12884,204,51,8.676629399997182
52,6.310253503897444,1560.8218870864698,25.241014015589776,13088,208,52,8.833947099978104
53,6.315382250259341,1554.3573456760746,25.261529001037363,13292,212,53,8.982065799995326
54,6.308606633774501,1545.9948664972287,25.234426535098002,13484,216,54,9.144088200002443
55,6.3196686233962875,1539.4196875277162,25.27867449358515,13672,220,55,9.291159100015648
56,6.326027391359458,1542.5178626931183,25.30410956543783,13888,224,56,9.434359200007748
57,6.348286701077696,1544.3179076907375,25.393146804310785,14120,228,57,9.593503899988718
58,6.383951174089262,1548.824725664758,25.535804696357047,14324,232,58,9.729824199981522
59,6.38322415744105,1550.7326606158829,25.5328966297642,14564,236,59,9.891616099979728
60,6.373217627269273,1543.6193224577905,25.492870509077093,14772,240,60,10.048907299991697
61,6.352071386490951,1549.905418303792,25.408285545963803,15092,244,61,10.22544970002491
62,6.370822320260032,1540.4388336824666,25.48328928104013,15296,248,62,10.375722599972505
63,6.38624649613505,1545.210988942391,25.5449859845402,15540,252,63,10.51212690002285
64,6.396210101904505,1543.4446580595688,25.58484040761802,15796,256,64,10.664615700021386
65,6.3915542575756055,1538.6688575992212,25.566217030302422,15996,260,65,10.820383100013714
66,6.401293510656176,1541.5359882804669,25.605174042624704,16220,264,66,10.957988900016062
67,6.406718047946467,1541.7963106405048,25.626872191785868,16456,268,67,11.100420999980997
68,6.407558764334455,1544.090895699209,25.63023505733782,16700,272,68,11.237820999987889
69,6.429166604436959,1548.773114260691,25.716666417747835,16920,276,69,11.375564099987969
70,6.458698337635054,1555.887248519269,25.834793350540217,17172,280,70,11.513784500013571
