batches,device/batches_per_sec,device/items_per_sec,device/samples_per_sec,lengths,samples,step,time
1,,,,488,4,1,0.8060497000114992
2,,,,732,8,2,1.0940943000023253
3,,,,968,12,3,1.377532800019253
4,,,,1232,16,4,1.7051361000048928
5,,,,1476,20,5,1.9969349000020884
6,,,,1736,24,6,2.3222929000039585
7,,,,1940,28,7,2.6144950999878347
8,,,,2200,32,8,2.952433199970983
9,,,,2436,36,9,3.236043500015512
10,,,,2660,40,10,3.505139400018379
11,,,,2904,44,11,3.778453500010073
12,,,,3136,48,12,4.069412000011653
13,,,,3448,52,13,4.39710429997649
14,,,,3684,56,14,4.669378400023561
15,,,,3972,60,15,5.004556700005196
16,,,,4200,64,16,5.2780882000224665
17,,,,4420,68,17,5.5549914999864995
18,,,,4664,72,18,5.827383299998473
19,,,,4892,76,19,6.109332799969707
20,,,,5116,80,20,6.381741099990904
21,,,,5368,84,21,6.657992099993862
22,,,,5684,88,22,6.990201100008562
23,,,,5928,92,23,7.268782800005283
24,,,,6168,96,24,7.541631900006905
25,,,,6384,100,25,7.815593599982094
26,,,,6620,104,26,8.096326900005806
27,,,,6848,108,27,8.364390900009312
28,,,,7072,112,28,8.636334299982991
29,,,,7268,116,29,8.911872599972412
30,,,,7504,120,30,9.196030899998732
31,,,,7700,124,31,9.46687699999893
32,,,,7948,128,32,9.750625399989076
33,,,,8192,132,33,10.034788199991453
34,,,,8512,136,34,10.358875099977013
35,,,,8696,140,35,10.616338499996345
36,,,,8968,144,36,10.944867299986072
37,,,,9200,148,37,11.228496299998369
38,,,,9400,152,38,11.495606400014367
39,,,,9628,156,39,11.768673999991734
40,,,,9860,160,40,12.049663799989503
41,,,,10136,164,41,12.376254200004041
42,,,,10432,168,42,12.714574999990873
43,,,,10692,172,43,13.046800300013274
44,,,,10944,176,44,13.322589299990796
45,,,,11192,180,45,13.598590600013267
46,,,,11428,184,46,13.878716100007296
47,,,,11736,188,47,14.21431469998788
48,,,,12060,192,48,14.56027760001598
49,,,,12332,196,49,14.884813399985433
50,3.400660441580372,841.9757648418995,13.602641766321488,12620,200,50,15.215015499969013
51,3.388581339781657,840.368172265851,13.554325359126628,12884,204,51,15.554423000023235
52,3.392578884633249,839.144001668469,13.570315538532997,13088,208,52,15.82082259998424
