batches,device/batches_per_sec,device/items_per_sec,device/samples_per_sec,lengths,samples,step,time
1,,,,488,4,1,0.8781779000019014
2,,,,732,8,2,1.1563134999996691
3,,,,968,12,3,1.4384410999991815
4,,,,1232,16,4,1.7672409000006155
5,,,,1476,20,5,2.036124900001596
6,,,,1736,24,6,2.358865100002731
7,,,,1940,28,7,2.659278600000107
8,,,,2200,32,8,2.9823735000027227
9,,,,2436,36,9,3.249271700002282
10,,,,2660,40,10,3.5319807000014407
11,,,,2904,44,11,3.8162800000027346
12,,,,3136,48,12,4.087224499999138
13,,,,3448,52,13,4.412310700001399
14,,,,3684,56,14,4.691335200001049
15,,,,3972,60,15,5.017941199999768
16,,,,4200,64,16,5.287254800001392
17,,,,4420,68,17,5.571384000002581
18,,,,4664,72,18,5.841439100000571
19,,,,4892,76,19,6.11169019999943
20,,,,5116,80,20,6.379807500001334
21,,,,5368,84,21,6.665766800000711
22,,,,5684,88,22,6.990771400000085
23,,,,5928,92,23,7.258846200002154
24,,,,6168,96,24,7.545433600000251
25,,,,6384,100,25,7.816270999999688
26,,,,6620,104,26,8.08418630000233
27,,,,6848,108,27,8.352708800000983
28,,,,7072,112,28,8.63109710000208
29,,,,7268,116,29,8.903579699999682
30,,,,7504,120,30,9.17514040000242
31,,,,7700,124,31,9.446148200000607
32,,,,7948,128,32,9.736819199999445
33,,,,8192,132,33,10.017218500001036
34,,,,8512,136,34,10.342872299999726
35,,,,8696,140,35,10.613774400000693
36,,,,8968,144,36,10.939882099999522
37,,,,9200,148,37,11.21032539999942
38,,,,9400,152,38,11.478905700001633
39,,,,9628,156,39,11.759741400001076
40,,,,9860,160,40,12.04269740000018
41,,,,10136,164,41,12.371845000001485
42,,,,10432,168,42,12.704600400000345
43,,,,10692,172,43,13.038432400000602
44,,,,10944,176,44,13.306894200002716
45,,,,11192,180,45,13.593344400000205
46,,,,11428,184,46,13.871524700000009
47,,,,11736,188,47,14.196222300000954
48,,,,12060,192,48,14.530088300001808
49,,,,12332,196,49,14.86870049999925
50,3.4232847032919387,847.5773473538326,13.693138813167755,12620,200,50,15.19191580000188
51,3.4112799429357543,845.997425848067,13.645119771743017,12884,204,51,15.520423400001164
52,3.410910406722613,843.6782475403687,13.643641626890451,13088,208,52,15.804107200001454
53,3.425041714386787,842.9796546021356,13.700166857547147,13292,212,53,16.073636000000988
54,3.425047292564303,839.3462834512684,13.700189170257213,13484,216,54,16.342496699999174
55,3.43259886178967,836.1530615167653,13.73039544715868,13672,220,55,16.633763500001805
56,3.4403843080582948,838.8920757689899,13.761537232233179,13888,224,56,16.901873500002694
57,3.452551121379151,839.8859054457037,13.810204485516604,14120,228,57,17.174777399999584
58,3.4505369229111094,837.1425089707606,13.802147691644437,14324,232,58,17.449960199999623
59,3.450150524786496,838.1753438175193,13.800602099145983,14564,236,59,17.73425960000168
60,3.453694297673374,836.4988556079103,13.814777190693496,14772,240,60,18.003986200001236
61,3.440838686593593,839.5646395288367,13.763354746374372,15092,244,61,18.32793859999947
62,3.451019143000371,834.4423429850693,13.804076572001485,15296,248,62,18.611014900001464
63,3.4516493209663714,835.1582520281082,13.806597283865486,15540,252,63,18.887447100001737
64,3.463858569777786,835.8502801847458,13.855434279111144,15796,256,64,19.164015300000756
65,3.4652475275817527,834.2053027623338,13.86099011032701,15996,260,65,19.427658799999335
66,3.4661120453545657,834.6963701057933,13.864448181418263,16220,264,66,19.708261100000527
67,3.466216103846066,834.1555162561799,13.864864415384265,16456,268,67,19.97789180000109
68,3.466393586537842,835.3301116293641,13.865574346151368,16700,272,68,20.247419100000116
69,3.466167923301599,834.9927789112669,13.864671693206397,16920,276,69,20.516456699999253
70,3.4658030451318926,834.9048805048338,13.86321218052757,17172,280,70,20.803904300002614
71,3.479249334488507,832.4636570927195,13.916997337954028,17408,284,71,21.074269100001402
72,3.4822381726264653,828.6305529147875,13.928952690505861,17588,288,72,21.33025590000034
73,3.486311942442283,830.4537345344148,13.945247769769132,17840,292,73,21.600400800001808
74,3.4825414970936173,829.8398881645934,13.930165988374469,18060,296,74,21.886455100000603
75,3.4693272564507427,828.3903857239529,13.87730902580297,18320,300,75,22.207962000000407
76,3.4692296674643863,827.8006790202776,13.876918669857545,18540,304,76,22.476881800001138
77,3.4568935254224358,827.3968829827413,13.827574101689743,18800,308,77,22.805673099999694
78,3.457512944892974,831.2143365477394,13.830051779571896,19048,312,78,23.075616300000547
79,3.4587846282583388,831.2377098442897,13.835138513033355,19280,316,79,23.341966399999365
80,3.459273381462024,834.461456507778,13.837093525848095,19520,320,80,23.610972599999513
81,3.4607355573066574,833.4016240044604,13.84294222922663,19748,324,81,23.895658900000853
82,3.4640574594095233,831.6565704590538,13.856229837638093,19956,328,82,24.162480400002096
83,3.4645805291292247,831.2165040906768,13.858322116516899,20268,332,83,24.48599860000104
84,3.448701064339772,833.6003144089849,13.794804257359088,20540,336,84,24.822022399999696
